x,y
-497.1846172,41.3633664
-498.017882,41.916079
-498.8511316,42.4688146
-499.684363,43.0215774
-500.5175667,43.5743821
-501.350723,44.1272584
-502.1838102,44.6802386
-503.0168067,45.2333556
-503.8496907,45.7866419
-504.6824405,46.3401301
-505.5150344,46.893853
-506.3474504,47.4478431
-507.1796669,48.0021329
-508.011662,48.556755
-508.8434137,49.1117421
-509.6749001,49.6671265
-510.5060992,50.2229408
-511.3369876,50.7792193
-512.1674447,51.3361417
-512.9968265,51.8946606
-513.8242268,52.4561116
-514.6491051,53.0212638
-515.4710654,53.5906516
-516.2896523,54.1648763
-517.1043415,54.7446147
-517.9145878,55.3305452
-518.7198269,55.9233373
-519.5194741,56.5236503
-520.3129223,57.132132
-521.0995408,57.7494164
-521.8786731,58.376122
-522.6496356,59.01285
-523.4117158,59.6601814
-524.1641708,60.3186749
-524.9062265,60.9888642
-525.6370759,61.6712553
-526.3558782,62.3663231
-527.0617581,63.0745088
-527.7538055,63.7962166
-528.4310732,64.5318098
-529.0925889,65.2816021
-529.7372066,66.0459656
-530.3636009,66.8253272
-530.9704104,67.6200306
-531.5562284,68.4303292
-532.1196058,69.2563848
-532.6590501,70.0982617
-533.173026,70.9559215
-533.6599558,71.8292173
-534.1182211,72.7178866
-534.5461651,73.6215448
-534.9420934,74.5396782
-535.3042731,75.4716371
-535.6309279,76.4166299
-535.9202303,77.3737182
-536.170279,78.3417931
-536.3791543,79.3195821
-536.5450174,80.3055747
-536.6659417,81.2980758
-536.7401322,82.2951782
-536.7665796,83.2946812
-536.7446142,84.2942817
-536.6736724,85.2915856
-536.5536217,86.2841395
-536.3845582,87.2694245
-536.1656628,88.2448381
-535.8958164,89.2075338
-535.5775998,90.1553061
-535.2139557,91.0865988
-534.807647,92.0001054
-534.3612276,92.8946926
-533.8766622,93.7692421
-533.3549361,94.6221802
-532.7969288,95.4518754
-532.2040788,96.2570022
-531.5783039,97.0368226
-530.9216024,97.7907816
-530.2358795,98.5184539
-529.5229861,99.2195409
-528.7847539,99.8938685
-528.0228512,100.5413533
-527.2388936,101.1619538
-526.4344096,101.7557077
-525.610856,102.3227187
-524.7696218,102.8631547
-523.9120308,103.3772439
-523.0393434,103.8652712
-522.1527583,104.3275748
-521.253414,104.7645429
-520.3423904,105.1766118
-519.4207101,105.5642637
-518.4893381,105.9280227
-517.5491721,106.2684145
-516.6010262,106.5859007
-515.6456576,106.8809467
-514.6837827,107.1540406
-513.7160752,107.4056909
-512.7431674,107.6364248
-511.7656513,107.8467857
-510.7840793,108.0373313
-509.7989655,108.2086322
-508.8107872,108.3612698
-507.8199854,108.4958354
-506.8269664,108.6129287
-505.8321029,108.7131566
-504.8357353,108.797132
-503.8381728,108.8654728
-502.8396945,108.9188007
-501.840551,108.9577407
-500.8409656,108.9829199
-499.8411347,108.9949671
-498.8412311,108.9945101
-497.8414034,108.9821453
-496.8417801,108.9584353
-495.84247,108.9239406
-494.843563,108.8792196
-493.8451355,108.8248669
-492.8472442,108.7613999
-491.8499597,108.6890211
-490.8533496,108.6078813
-489.8574781,108.5181298
-488.8624055,108.4199149
-487.8681888,108.3133835
-486.8748814,108.1986816
-485.8825337,108.0759535
-484.8911927,107.9453426
-483.9009023,107.8069907
-482.9117035,107.6610383
-481.9236341,107.5076243
-480.9367297,107.3468857
-479.9510195,107.178962
-478.9665571,107.0038833
-477.9834046,106.8215987
-477.0016235,106.6320651
-476.0212773,106.4352449
-475.0424289,106.2311052
-474.0651419,106.0196173
-473.0894796,105.8007559
-472.1155061,105.5744978
-471.1432858,105.3408211
-470.1728837,105.0997041
-469.2043675,104.8511219
-468.2378039,104.5950515
-467.2732621,104.3314678
-466.3108135,104.0603409
-465.3505321,103.7816361
-464.3924944,103.4953136
-463.436781,103.2013275
-462.4834729,102.899625
-461.5326734,102.5901484
-460.5844209,102.2729156
-459.6387408,101.9480996
-458.6956394,101.6158697
-457.7551207,101.2763963
-456.8171849,100.9298504
-455.8818279,100.5764026
-454.9490421,100.2162237
-454.0188159,99.8494839
-453.0911355,99.4763535
-452.1659768,99.0970112
-451.2433057,98.7116573
-450.323081,98.3204957
-449.4052656,97.9237146
-448.4898398,97.5214527
-447.5767882,97.1138306
-446.6660944,96.7009676
-445.7577399,96.2829824
-444.8517054,95.8599925
-443.9479687,95.4321146
-443.0465071,94.9994642
-442.1472958,94.5621559
-441.2503087,94.1203032
-440.3555185,93.6740185
-439.4628962,93.2234131
-438.5724119,92.7685973
-437.6840342,92.3096803
-436.7977304,91.8467704
-435.9134669,91.379975
-435.0312087,90.9094005
-434.1509196,90.4351525
-433.2725625,89.9573359
-432.3960989,89.4760547
-431.5214892,88.9914125
-430.648693,88.503512
-429.7776685,88.0124556
-428.9083729,87.5183449
-428.0407636,87.0212817
-427.1748045,86.5213477
-426.3104805,86.0185917
-425.4477777,85.5130587
-424.5866819,85.0047932
-423.7271783,84.4938398
-422.8692517,83.9802428
-422.0128867,83.4640463
-421.1580672,82.9452942
-420.3047771,82.4240304
-419.4529996,81.9002984
-418.6027178,81.3741416
-417.7539143,80.8456032
-416.9065715,80.3147261
-416.0606713,79.7815533
-415.2161956,79.2461273
-414.3731255,78.7084905
-413.5314423,78.1686852
